ServerTimeStamp,OriginalTimeStamp,apiKey,Suhu,TDS,Salinitas,pH,Turbiditas
"31/05/2025 07:38:54","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","30.18","6.57","3.86"
"31/05/2025 07:38:58","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","31.9","6.59","3.66"
"31/05/2025 07:39:02","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.99","31.54","6.57","3.66"
"31/05/2025 07:39:06","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.98","31.46","6.59","3.7"
"31/05/2025 07:39:10","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.09","27.97","6.57","3.52"
"31/05/2025 07:39:14","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.01","28.13","6.57","3.65"
"31/05/2025 07:39:19","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.91","28.1","6.58","3.85"
"31/05/2025 07:39:23","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.99","28.12","6.58","3.67"
"31/05/2025 07:39:26","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.89","28.12","6.57","3.7"
"31/05/2025 07:39:31","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","28.04","6.59","3.86"
"31/05/2025 07:39:35","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","28.01","6.59","3.78"
"31/05/2025 07:39:39","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.97","28.05","6.58","3.52"
"31/05/2025 07:39:43","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.97","28.1","6.58","3.83"
"31/05/2025 07:39:47","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.94","28.14","6.58","3.79"
"31/05/2025 07:39:51","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.91","28.19","6.59","3.69"
"31/05/2025 07:39:55","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","28.27","6.58","3.78"
"31/05/2025 07:39:59","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.91","28.32","6.57","3.74"
"31/05/2025 07:40:03","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.82","28.42","6.57","3.73"
"31/05/2025 07:40:07","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","28.52","6.58","3.62"
"31/05/2025 07:40:11","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.03","28.87","6.57","3.54"
"31/05/2025 07:40:15","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.04","30.55","6.58","3.85"
"31/05/2025 07:40:20","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","28.58","6.59","3.58"
"31/05/2025 07:40:23","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","30.34","6.58","3.62"
"31/05/2025 07:40:27","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.9","30.79","6.57","3.71"
"31/05/2025 07:40:32","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.02","28.87","6.59","3.77"
"31/05/2025 07:40:36","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.99","29.12","6.58","3.76"
"31/05/2025 07:40:41","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15","29.2","6.57","3.83"
"31/05/2025 07:40:45","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.9","29.22","6.58","3.58"
"31/05/2025 07:40:49","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","15.01","29.27","6.58","3.83"
"31/05/2025 07:40:53","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.88","29.31","6.58","3.72"
"31/05/2025 07:40:57","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.99","29.29","6.57","3.5"
"31/05/2025 07:41:04","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","15","29.32","6.58","3.86"
"31/05/2025 07:41:07","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.04","29.27","6.59","3.66"
"31/05/2025 07:41:12","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","29.28","6.58","3.68"
"31/05/2025 07:41:17","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.08","29.27","6.57","3.61"
"31/05/2025 07:41:23","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.8","29.28","6.58","3.54"
"31/05/2025 07:41:27","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.92","29.27","6.57","3.61"
"31/05/2025 07:41:31","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","29.27","6.59","3.82"
"31/05/2025 07:41:35","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.1","29.27","6.58","3.8"
"31/05/2025 07:41:39","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.87","29.4","6.57","3.68"
"31/05/2025 07:41:43","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","29.47","6.58","3.52"
"31/05/2025 07:41:47","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.88","29.49","6.58","3.76"
"31/05/2025 07:41:51","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","29.53","6.57","3.74"
"31/05/2025 07:41:56","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.87","29.54","6.57","3.53"
"31/05/2025 07:42:00","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","15.02","29.53","6.59","3.54"
"31/05/2025 07:42:04","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","29.53","6.57","3.57"
"31/05/2025 07:42:08","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.83","29.53","6.58","3.71"
"31/05/2025 07:42:12","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.89","29.53","6.58","3.67"
"31/05/2025 07:42:16","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.92","29.52","6.57","3.54"
"31/05/2025 07:42:21","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15","29.53","6.57","3.5"
"31/05/2025 07:42:24","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.98","29.51","6.58","3.53"
"31/05/2025 07:42:29","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","29.52","6.59","3.61"
"31/05/2025 07:42:33","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.94","29.53","6.58","3.88"
"31/05/2025 07:42:37","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.82","29.52","6.57","3.72"
"31/05/2025 07:42:41","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","29.51","6.57","3.88"
"31/05/2025 07:42:45","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.03","29.5","6.57","3.89"
"31/05/2025 07:42:49","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","29.49","6.59","3.84"
"31/05/2025 07:42:53","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","29.45","6.59","3.67"
"31/05/2025 07:42:57","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.9","29.42","6.57","3.73"
"31/05/2025 07:43:02","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.93","29.31","6.57","3.8"
"31/05/2025 07:43:06","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.98","29.28","6.59","3.64"
"31/05/2025 07:43:10","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.99","29.28","6.59","3.68"
"31/05/2025 07:43:14","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","29.33","6.57","3.6"
"31/05/2025 07:43:18","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.97","29.39","6.59","3.8"
"31/05/2025 07:43:22","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.9","29.81","6.57","3.57"
"31/05/2025 07:43:26","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.03","29.79","6.58","3.89"
"31/05/2025 07:43:30","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","29.78","6.57","3.76"
"31/05/2025 07:43:34","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","29.73","6.57","3.76"
"31/05/2025 07:43:38","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.93","29.75","6.58","3.55"
"31/05/2025 07:43:42","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.95","29.74","6.58","3.61"
"31/05/2025 07:43:46","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.8","29.9","6.58","3.81"
"31/05/2025 07:43:50","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.01","30.15","6.57","3.86"
"31/05/2025 07:43:54","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.01","30.23","6.57","3.65"
"31/05/2025 07:43:59","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.98","30.3","6.57","3.88"
"31/05/2025 07:44:02","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.86","30.3","6.57","3.81"
"31/05/2025 07:44:07","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.88","30.43","6.57","3.81"
"31/05/2025 07:44:11","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.89","30.55","6.57","3.53"
"31/05/2025 07:44:15","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.04","30.39","6.58","3.7"
"31/05/2025 07:44:20","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.94","30.44","6.57","3.84"
"31/05/2025 07:44:25","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.05","30.43","6.57","3.56"
"31/05/2025 07:44:28","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.84","30.45","6.58","3.61"
"31/05/2025 07:44:32","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","15.07","30.5","6.58","3.69"
"31/05/2025 07:44:37","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.94","30.52","6.58","3.84"
"31/05/2025 07:44:41","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","15.03","30.55","6.57","3.85"
"31/05/2025 07:44:45","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","30.53","6.58","3.9"
"31/05/2025 07:44:51","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.93","30.55","6.57","3.64"
"31/05/2025 07:44:55","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.88","30.56","6.58","3.77"
"31/05/2025 07:44:59","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.44","14.85","30.57","6.59","3.77"
"31/05/2025 07:45:03","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.84","30.56","6.59","3.82"
"31/05/2025 07:45:12","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","30.57","6.57","3.88"
"31/05/2025 07:45:16","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.09","30.07","6.57","3.77"
"31/05/2025 07:45:20","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.9","30.09","6.57","3.59"
